time,x,x_dot,theta,theta_dot,torque
1.8800000000000001,0.35,0.00015106727,2.813437,-1.0592399,1018.8093
1.885,0.35,0.00015225052,2.8113854,-1.0549014,1025.5468
1.8900000000000001,0.35,0.00015342463,2.8093429,-1.050536,1032.2507
1.895,0.35,0.00015458919,2.8073099,-1.0461417,1038.9224
1.9000000000000001,0.35,0.00015574455,2.8052862,-1.041721,1045.5597
1.905,0.35,0.00015689072,2.803272,-1.0372727,1052.1638
1.9100000000000001,0.35,0.00015802734,2.8012674,-1.0327976,1058.7336
1.915,0.35,0.0001591547,2.7992723,-1.0282938,1065.2695
1.92,0.35,0.00016027282,2.7972867,-1.0237647,1071.7711
1.925,0.35,0.00016138179,2.7953107,-1.0192077,1078.2388
1.93,0.35,0.00016248121,2.7933447,-1.0146235,1084.6721
1.935,0.35,0.00016357156,2.7913883,-1.0100121,1091.0698
1.94,0.35,0.00016465277,2.7894416,-1.0053741,1097.4335
1.945,0.35,0.00016572402,2.7875051,-1.0007077,1103.762
1.95,0.35,0.00016678649,2.7855785,-0.99601704,1110.0541
1.955,0.35,0.0001678397,2.7836618,-0.99130034,1116.3114
1.96,0.35,0.00016888359,2.7817552,-0.9865564,1122.533
1.965,0.35,0.00017015706,2.7798586,-0.9817859,1128.7189
1.97,0.35,0.00017094403,2.7779722,-0.97698855,1134.8688
1.975,0.35,0.00017196045,2.7760959,-0.9721648,1140.9825
1.98,0.35,0.00017296779,2.77423,-0.967314,1147.0604
1.985,0.35,0.00017396605,2.7723742,-0.9624382,1153.101
1.99,0.35,0.00017495517,2.7705288,-0.9575357,1159.1058
1.995,0.35,0.00017593533,2.7686937,-0.95260674,1165.0735
2.0,0.35,0.00017690618,2.766869,-0.9476536,1171.0046
2.005,0.35,0.00017786777,2.7650547,-0.9426735,1176.8986
2.0100000000000002,0.35,0.00017882045,2.7632513,-0.93766755,1182.756
2.015,0.35,0.00017976438,2.7614582,-0.9326355,1188.5743
